Date,Demand_MW,Total_Production_MW,Coal_MW,Hydrocarbons_MW,Water_MW,Nuclear_MW,Wind_MW,Solar_MW,Biomass_MW,Import_MW,Import_Positive_MW,Export_Positive_MW,AvgTemp_Celsius,AvgWindSpeed_kmh,SolarRadiation_WM2
2023-01-01 00:00:00,5189.166666666667,5986.333333333333,870.5,1507.0,1207.6666666666667,1407.8333333333333,961.3333333333334,0.0,32.0,-797.0,0.0,797.0,-2.1,2.88,0
2023-01-01 01:00:00,4977.833333333333,5886.666666666667,875.3333333333334,1400.0,1142.6666666666667,1408.3333333333333,1028.8333333333333,0.0,32.0,-908.8333333333334,0.0,908.8333333333334,1.66,3.195,0
2023-01-01 02:00:00,4805.666666666667,5784.5,873.0,1386.1666666666667,963.6666666666666,1410.5,1119.1666666666667,0.0,32.0,-978.5,0.0,978.5,1.94,2.61,0
2023-01-01 03:00:00,4664.5,5730.166666666667,833.6666666666666,1327.6666666666667,887.8333333333334,1410.0,1239.0,0.0,32.0,-1065.6666666666667,0.0,1065.6666666666667,1.73,1.89,0
2023-01-01 04:00:00,4566.166666666667,5342.833333333333,826.0,1297.5,797.1666666666666,1408.3333333333333,982.8333333333334,0.0,31.5,-776.6666666666666,0.0,776.6666666666666,1.52,2.43,0
2023-01-01 05:00:00,4515.333333333333,5210.666666666667,852.3333333333334,1362.5,849.3333333333334,1406.3333333333333,708.1666666666666,0.0,32.0,-695.5,0.0,695.5,1.24,2.52,0
2023-01-01 06:00:00,4492.0,5219.833333333333,854.0,1350.8333333333333,870.0,1407.6666666666667,706.8333333333334,0.0,30.0,-727.8333333333334,0.0,727.8333333333334,1.02,2.52,0
2023-01-01 07:00:00,4437.833333333333,5174.166666666667,837.3333333333334,1301.6666666666667,797.8333333333334,1408.0,798.3333333333334,0.1666666666666666,30.166666666666668,-736.3333333333334,0.0,736.3333333333334,0.82,2.205,0
2023-01-01 08:00:00,4394.166666666667,5121.0,832.6666666666666,1281.3333333333333,783.6666666666666,1408.6666666666667,763.8333333333334,21.0,29.666666666666668,-726.6666666666666,0.0,726.6666666666666,1.06,3.105,12
2023-01-01 09:00:00,4374.428571428572,5418.571428571428,871.4285714285714,1370.2857142857142,877.0,1409.428571428571,711.0,149.57142857142858,29.571428571428573,-1044.0,0.0,1044.0,2.24,2.61,71
2023-01-01 10:00:00,4297.666666666667,5434.0,864.6666666666666,1357.0,844.0,1409.8333333333333,593.1666666666666,335.6666666666667,29.83333333333333,-1136.1666666666667,0.0,1136.1666666666667,5.11,5.67,548
2023-01-01 11:00:00,4217.666666666667,5248.333333333333,839.5,1297.3333333333333,768.6666666666666,1410.3333333333333,469.5,433.5,29.83333333333333,-1030.6666666666667,0.0,1030.6666666666667,7.07,4.86,536
2023-01-01 12:00:00,4281.5,5394.5,867.8333333333334,1376.8333333333333,885.3333333333334,1408.8333333333333,327.5,498.8333333333333,29.33333333333333,-1113.0,0.0,1113.0,8.26,4.365,429
2023-01-01 13:00:00,4308.333333333333,5282.0,865.6666666666666,1368.0,905.8333333333334,1407.3333333333333,256.3333333333333,449.0,30.166666666666668,-973.5,0.0,973.5,7.96,5.265,126
2023-01-01 14:00:00,4348.833333333333,5145.0,872.0,1377.5,906.5,1409.1666666666667,221.33333333333331,329.5,30.0,-796.3333333333334,0.0,796.3333333333334,7.9,6.66,253
2023-01-01 15:00:00,4460.857142857143,5148.285714285715,870.2857142857143,1371.857142857143,1099.142857142857,1406.428571428571,216.8571428571429,153.14285714285714,30.285714285714285,-687.5714285714286,0.0,687.5714285714286,7.02,5.58,34
2023-01-01 16:00:00,4722.333333333333,5535.833333333333,874.6666666666666,1383.6666666666667,1488.8333333333333,1408.6666666666667,327.3333333333333,20.83333333333333,32.0,-813.3333333333334,0.0,813.3333333333334,5.76,8.235,0
2023-01-01 17:00:00,5265.833333333333,5709.333333333333,873.6666666666666,1380.6666666666667,1594.8333333333333,1409.8333333333333,418.0,0.0,32.0,-443.3333333333333,0.0,443.3333333333333,5.34,5.805,0
2023-01-01 18:00:00,5449.0,6134.666666666667,872.8333333333334,1391.1666666666667,1936.3333333333333,1409.6666666666667,492.1666666666667,0.0,32.333333333333336,-685.5,0.0,685.5,5.04,6.66,0
2023-01-01 19:00:00,5449.857142857143,6189.714285714285,869.2857142857143,1386.571428571429,1973.571428571429,1410.571428571429,517.2857142857143,0.0,32.42857142857143,-740.0,0.0,740.0,4.74,4.95,0
2023-01-01 20:00:00,5394.666666666667,6128.833333333333,873.3333333333334,1383.1666666666667,1950.3333333333333,1409.6666666666667,479.8333333333333,0.0,32.0,-734.0,0.0,734.0,4.44,4.68,0
2023-01-01 21:00:00,5233.5,6144.0,862.6666666666666,1367.0,1888.3333333333333,1408.6666666666667,584.8333333333334,0.0,32.5,-910.5,0.0,910.5,4.14,5.31,0
2023-01-01 22:00:00,5039.833333333333,6103.166666666667,864.1666666666666,1375.1666666666667,1808.6666666666667,1407.8333333333333,615.8333333333334,0.0,30.83333333333333,-1063.5,0.0,1063.5,3.84,3.51,0
2023-01-01 23:00:00,4796.333333333333,5869.333333333333,875.1666666666666,1395.3333333333333,1616.8333333333333,1410.1666666666667,541.1666666666666,0.0,29.83333333333333,-1072.8333333333333,0.0,1072.8333333333333,3.45,2.295,0
2023-01-02 00:00:00,4612.666666666667,5505.166666666667,875.3333333333334,1395.0,1342.0,1409.8333333333333,452.0,0.0,30.0,-892.5,0.0,892.5,3.14,1.845,0
2023-01-02 01:00:00,4450.666666666667,5564.5,910.5,1437.6666666666667,1333.1666666666667,1410.8333333333333,442.1666666666667,0.0,30.0,-1113.8333333333333,0.0,1113.8333333333333,2.84,2.115,0
2023-01-02 02:00:00,4343.0,5647.333333333333,950.1666666666666,1441.3333333333333,1311.6666666666667,1408.6666666666667,505.0,0.0,30.0,-1304.1666666666667,0.0,1304.1666666666667,2.54,4.365,0
2023-01-02 03:00:00,4304.666666666667,5637.833333333333,943.6666666666666,1409.5,1276.3333333333333,1409.0,569.0,0.0,30.166666666666668,-1333.3333333333333,0.0,1333.3333333333333,2.24,7.515,0
2023-01-02 04:00:00,4309.333333333333,5646.666666666667,957.1666666666666,1440.3333333333333,1303.1666666666667,1409.3333333333333,506.3333333333333,0.0,30.0,-1337.1666666666667,0.0,1337.1666666666667,1.94,6.975,0
2023-01-02 05:00:00,4387.714285714285,5592.142857142857,950.1428571428572,1434.571428571429,1317.7142857142858,1410.2857142857142,449.1428571428572,0.0,30.142857142857142,-1204.428571428571,0.0,1204.428571428571,1.64,8.415,0
2023-01-02 06:00:00,4521.5,5647.666666666667,955.3333333333334,1453.5,1377.8333333333333,1409.6666666666667,420.5,0.0,30.33333333333333,-1126.1666666666667,0.0,1126.1666666666667,1.34,6.435,0
2023-01-02 07:00:00,4690.666666666667,6009.5,954.0,1422.5,1784.0,1409.5,408.8333333333333,0.3333333333333333,30.166666666666668,-1318.6666666666667,0.0,1318.6666666666667,1.04,7.695,0
2023-01-02 08:00:00,4937.833333333333,6375.5,960.1666666666666,1708.1666666666667,1861.6666666666667,1408.3333333333333,375.8333333333333,31.166666666666668,30.0,-1437.6666666666667,0.0,1437.6666666666667,1.7,4.455,31
2023-01-02 09:00:00,5114.5,6494.5,1001.8333333333334,1707.1666666666667,1859.1666666666667,1410.6666666666667,295.6666666666667,190.0,30.0,-1380.0,0.0,1380.0,2.15,4.275,48
2023-01-02 10:00:00,5181.0,6524.333333333333,946.1666666666666,1702.8333333333333,1837.1666666666667,1409.8333333333333,209.33333333333331,388.6666666666667,30.166666666666668,-1343.3333333333333,0.0,1343.3333333333333,3.16,4.005,134
2023-01-02 11:00:00,5157.5,6422.5,863.6666666666666,1652.5,1836.0,1408.1666666666667,133.16666666666666,499.3333333333333,30.0,-1264.6666666666667,0.0,1264.6666666666667,3.56,4.59,88
