Date,AvgTemp_Celsius,SunlightHours,AvgWindSpeed_kmh,SolarRadiation_WM2
1/1/2023,4.05,9.191721866,7.08,0
1/1/2023,4.26,9.191721866,6.91,0
1/1/2023,4.25,9.191721866,6.55,0
1/1/2023,4.08,9.191721866,6.15,0
1/1/2023,3.87,9.191721866,5.81,0
1/1/2023,3.69,9.191721866,5.7,0
1/1/2023,3.48,9.191721866,5.52,0
1/1/2023,3.58,9.191721866,5.23,0
1/1/2023,4.27,9.191721866,4.92,49.94
1/1/2023,5.05,9.191721866,4.55,170.61
1/1/2023,6.51,9.191721866,4.67,282.84
1/1/2023,9.16,9.191721866,4.61,344.82
1/1/2023,11.6,9.191721866,4.39,355.41
1/1/2023,13.35,9.191721866,4.33,316.83
1/1/2023,14.08,9.191721866,4.44,239.89
1/1/2023,12.92,9.191721866,4.81,126.05
1/1/2023,9.46,9.191721866,5.65,19
1/1/2023,8.26,9.191721866,6.19,0
1/1/2023,7.76,9.191721866,6.22,0
1/1/2023,7.31,9.191721866,5.9,0
1/1/2023,7.03,9.191721866,5.37,0
1/1/2023,6.91,9.191721866,4.91,0
1/1/2023,6.48,9.191721866,4.95,0
1/1/2023,5.74,9.191721866,5.49,0
1/2/2023,5.16,11.25812867,6.1,0
1/2/2023,4.82,11.25812867,6.5,0
1/2/2023,4.58,11.25812867,6.6,0
1/2/2023,4.41,11.25812867,6.55,0
1/2/2023,4.4,11.25812867,6.47,0
1/2/2023,4.48,11.25812867,6.44,0
1/2/2023,4.58,11.25812867,6.55,0
1/2/2023,4.62,11.25812867,6.44,0
1/2/2023,5.54,11.25812867,6.08,57.56
1/2/2023,7.01,11.25812867,5.39,184.37
1/2/2023,8.64,11.25812867,4.92,293.53
1/2/2023,11.41,11.25812867,5.22,359.2
1/2/2023,13.8,11.25812867,5.19,376.55
1/2/2023,15.22,11.25812867,5.23,340.84
1/2/2023,15.87,11.25812867,5.32,225.28
1/2/2023,14.11,11.25812867,5.64,100.7
1/2/2023,10.33,11.25812867,6.48,10.87
1/2/2023,8.89,11.25812867,6.98,0
1/2/2023,8.15,11.25812867,7.06,0
1/2/2023,7.37,11.25812867,6.87,0
1/2/2023,6.64,11.25812867,6.63,0
1/2/2023,6.02,11.25812867,6.52,0
1/2/2023,5.51,11.25812867,6.61,0
1/2/2023,5.12,11.25812867,6.86,0
1/3/2023,4.86,10.23733862,7.2,0
1/3/2023,4.65,10.23733862,7.51,0
1/3/2023,4.45,10.23733862,7.76,0
1/3/2023,4.25,10.23733862,7.98,0
1/3/2023,4.12,10.23733862,8.08,0
1/3/2023,4.14,10.23733862,7.86,0
1/3/2023,4.08,10.23733862,7.17,0
1/3/2023,3.98,10.23733862,6.15,0
1/3/2023,4.71,10.23733862,5.1,58.03
1/3/2023,6.53,10.23733862,4.27,185.25
1/3/2023,8.32,10.23733862,3.91,294.04
1/3/2023,10.71,10.23733862,3.42,357.96
1/3/2023,12.51,10.23733862,2.89,380.77
1/3/2023,13.73,10.23733862,2.22,342.94
1/3/2023,14.21,10.23733862,1.53,255.23
1/3/2023,12.96,10.23733862,1.62,126.14
1/3/2023,10.76,10.23733862,2.14,17.32
1/3/2023,10.07,10.23733862,2.07,0
1/3/2023,9.96,10.23733862,1.53,0
1/3/2023,9.07,10.23733862,1.85,0
1/3/2023,7.8,10.23733862,3.42,0
1/3/2023,6.55,10.23733862,5.14,0
1/3/2023,5.74,10.23733862,6.41,0
1/3/2023,5.13,10.23733862,6.82,0
1/4/2023,4.61,8.849208816,6.61,0
1/4/2023,4.61,8.849208816,6.14,0
1/4/2023,4.75,8.849208816,5.51,0
1/4/2023,4.94,8.849208816,5.29,0
1/4/2023,5.22,8.849208816,4.96,0
1/4/2023,5.2,8.849208816,4.2,0
1/4/2023,5.33,8.849208816,3.58,0
1/4/2023,5.47,8.849208816,3.08,0
1/4/2023,5.84,8.849208816,2.98,21.36
1/4/2023,6.69,8.849208816,3.43,33.04
1/4/2023,7.51,8.849208816,4.88,74.44
1/4/2023,8.02,8.849208816,6.51,98.45
1/4/2023,8.06,8.849208816,6.77,118.95
1/4/2023,8.09,8.849208816,6.1,108.7
1/4/2023,8.21,8.849208816,5.13,79.78
1/4/2023,7.94,8.849208816,4.06,39.22
1/4/2023,6.14,8.849208816,3.29,14.5
1/4/2023,5.53,8.849208816,2.63,0
1/4/2023,5.37,8.849208816,1.93,0
1/4/2023,4.76,8.849208816,1.94,0
1/4/2023,3.96,8.849208816,2.43,0
1/4/2023,3.33,8.849208816,2.8,0
1/4/2023,3.37,8.849208816,3.16,0
1/4/2023,3.34,8.849208816,3.66,0
1/5/2023,3.63,10.75829929,4.34,0
1/5/2023,3.94,10.75829929,4.87,0
1/5/2023,3.84,10.75829929,5.21,0
1/5/2023,3.68,10.75829929,5.42,0
1/5/2023,3.67,10.75829929,5.64,0
1/5/2023,3.62,10.75829929,5.71,0
1/5/2023,3.53,10.75829929,6.03,0
1/5/2023,3.3,10.75829929,6.43,0
1/5/2023,3.25,10.75829929,6.83,38.31
1/5/2023,3.55,10.75829929,7.56,31.55
1/5/2023,4.04,10.75829929,9.19,107.43
1/5/2023,4.63,10.75829929,9.74,275.9
1/5/2023,5.76,10.75829929,10.34,275.16
1/5/2023,7.08,10.75829929,10.71,250.05
1/5/2023,7.47,10.75829929,10.4,195.59
1/5/2023,7.16,10.75829929,9.15,96.62
1/5/2023,5.96,10.75829929,8.73,15.07
1/5/2023,5.44,10.75829929,9.29,0
1/5/2023,5.69,10.75829929,9.59,0
1/5/2023,6.08,10.75829929,9.65,0
1/5/2023,6.23,10.75829929,9.87,0
1/5/2023,6.51,10.75829929,10.16,0
1/5/2023,6.14,10.75829929,9.72,0
1/5/2023,5.68,10.75829929,9.71,0
1/6/2023,5.05,8.194373503,9.52,0
1/6/2023,4.62,8.194373503,9.34,0
1/6/2023,4.3,8.194373503,9.02,0
1/6/2023,4.41,8.194373503,9.14,0
1/6/2023,4.18,8.194373503,9.02,0
1/6/2023,4.09,8.194373503,8.81,0
1/6/2023,4.05,8.194373503,8.68,0
1/6/2023,4.11,8.194373503,8.97,0
1/6/2023,5.13,8.194373503,8.71,47.47
